종목명,항목,내용
가구제작기능사,개요,주문생산에 의한 소량의 가구제작에서 이제는 자동화 공정에 의한 대량생산 체제가 도입 됨에 따라 업체에서는 가구제작 업무를 수행할 숙련 기능공을 요구하고 있다. 이에 따 라 일정한 자격제도를 규정하고 현장에서 필요로 하는 기능인력을 양성 하고자 하는 목 적으로 시행. 
가구제작기능사,변천과정,’74.10.16. 대통령령 제7283호’98.05.09. 통령령제15794호현재가구제작기능사2급가구제작기능사가구제작기능사
가구제작기능사,수행직무,"목재나 금속, 플라스틱재의 자재와 부속품을 가공하고 조립하여 제작도면과 시방서에 따 라 재료 절단, 연마, 도장, 조립 등을 거친 후 사용하기 편리하고 아름다운 각종 가구 를 제작 "
가구제작기능사,실시기관 홈페이지,http://www.q-net.or.kr
가구제작기능사,실시기관명,한국산업인력공단 
가구제작기능사,위 자격취득자에 대한 법령상 우대현황,"순번법령명조문내역활용내용1경찰공무원임용령제16조 특별채용의 요건특별채용의 자격2고등학교 졸업학력 검정고시 규칙제12조 과목면제고시합격자로 가늠 또는 과목면제3공직자윤리법 시행령제34조 취업승인관할 공직자윤리위원회가 취업승인을 하는 경우4공직자윤리법의 시행에 관한 대법원규칙제37조 취업승인퇴직공직자의 취업승인 요건5공직자윤리법의 시행에 관한 헌법재판소규칙제20조 취업승인퇴직공직자의 취업승인 요건6교원자격검정령 시행규칙제9조 무시험검정의 신청실기교사무시험검정인 때에는 국가기술자격증 사본(해당과목에 한한다)을 첨부하여야 무시험자격7교육감 소속 지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정8국가공무원법제36조의2 채용시험의 가점채용시험의 가점9국가기술자격법제14조 국가기술자격 취득자에 대한 우대국가기술자격 취득자를 우대10국가기술자격법 시행규칙제21조 시험위원의 자격 등(별표16)시험위원의 자격11국가기술자격법 시행규칙제3조 응시자격(별표3, 4)산업기사 응시자격12국가기술자격법 시행령제10조 국가기술자격의 등급과 응시자격(별표1의2)기술·기능분야 국가기술자격의 응시자격13국가기술자격법 시행령제27조 국가기술자격취득자의 취업 등에 대한 우대채용·보수 및 승진 등에 있어 해당 직무분야의 국가기술자격취득자를 우대14국가를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준가격을 적용함에 있어 해당 노임단가에 그 노임단가의 100분의 15 이하에 해당하는 금액을 가산15국회인사규칙제20조 특별채용의 요건동종직무에 관한 자격증소지자를 특별채용하는 경우16군무원인사법 시행규칙제16조 시험과목의 일부 면제 등국가에서 실시한 각종 자격·면허시험에 합격한 사람의 자격이 임용예정 직급과 관련이 있는 경우에는 그 자격·면허시험에 이미 응시한 시험과목에 대한 시험은 면제17군무원인사법 시행규칙제27조 가산점(별표4)승진후보자 명부작성시 자격증 및 면허증 소지자 가산18군무원인사법 시행령제10조 특별채용 요건(별표4)특별채용시험에 의하여 신규채용할 수 있는 자격19군인사법 시행규칙제14조 부사관의 임용부사관의 자격20근로자직업능력 개발법 시행령제27조 직업능력개발훈련을 위하여 근로자를 가르칠 수 있는 사람직업능력개발훈련교사의 정의21근로자직업능력 개발법 시행령제28조 직업능력개발훈련교사의 자격 취득(별표1)직업능력개발훈련교사의자격 22근로자직업능력 개발법 시행령제38조 다기능기술자과정의 학생선발방법정원 내 특별전형대상자23근로자직업능력 개발법 시행령제44조 교원 등의 임용교원을 임용할 때 자격증 소지자 우대24기능장려법 시행령제3조 영업의 우선적 인ㆍ허가등영업의 우선적 인ㆍ허가등25독학에 의한 학위취득에 관한 법률 시행령제9조 시험과목면제 대상시험과목의 전부 또는 일부를 면제받을 수 있는 자26병역법제53조 전시근로소집 대상 등전시근로소집 대상27병역법 시행령제79조 기간산업 분야 종사자 등의 산업기능요원 편입(별표2)기간산업분야종사자등의 산업기능요원 편입28병역법 시행령제83조 전문연구요원 및 산업기능요원이 종사할 해당 분야 등분야에 종사해야할 전문연구요원 및 산업기능요원29비상대비자원 관리법제2조 대상자원의 범위대상자원의 범위30선박직원법 시행령제11조 시험과목필기시험의 해당 과목을 면제31장애인 등에 대한 특수교육법 시행령제17조 전문인력의 자격 기준 등자격이 있는 진로 및 직업교육을 담당하는 전문인력32중소기업인력지원 특별법제28조 근로자의 창업지원 등당해 직종과 관련된 분야에서 신기술에 기반한 창업을 하고자 하는 경우 지원33지방공무원 임용령제17조 특별임용의 요건특별임용 하려는 경우34지방공무원 임용령제55조의3 자격증 소지자에 대한 신규임용시험의 특전6급 이하 공무원 및 기능직공무원 신규임용시험 시 필기시험 점수 가산35지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정36지방공무원법제34조의2 신규임용시험의 가점공무원 신규임용시험시 점수 가산37지방자치단체를 당사자로 하는 계약에 관한 법률제57조 주민참여감독자의 자격주민대표자의추천을받을수있는사람의자격기준 38지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준지방자치단체의 장 또는 계약담당자는 가격을 적용함에 있어 당해 노임단가에 동 노임단가의 100분의 15이하에 해당하는 금액을 가산39지방자치단체를 당사자로 하는 계약에 관한 법률 시행령제106조 계약심의위원회의 구성계약심의위원회의 위원40지역균형개발 및 지방중소기업 육성에 관한 법률 시행령제59조 인력의 지역정착지원인력의 지역정착지원41헌법재판소 공무원 수당규칙제6조 특수업무수당(별표2)특수업무수당지급"
가구제작기능사,진로 및 전망," 목재가구제작업체, 금속가구제작업체, 주방가구제작업체, 매트리스 및 내장가구 제작   업체, 전통공예가구제작업체, 인테리어전문업체, 가구수리·보수전문업체 등에 취업   할 수 있다. - 가구제작업체가 대부분 영세하고 국제통화기금(IMF) 관리체제이후 내수시장의 감   소, 수출부진 등으로 가구업체와 종사자수가 줄어든 상태이나 경기회복과 함께 주문   가구, 고급가구를 중심으로 소비증가가 예상된다. 또한 가구제작은 자동화에 한계   가 있고 소비자의 다양한 기호를 만족시켜야 하는 공예품적인 성격이 강하기 때문에    실용적인 측면과 장식적인 측면을 고루 만족시켜줄 수 있는 숙련기능공의 수요는 줄   어들지 않을 전망이다."
가구제작기능사,출제경향,"-주어진 도면을근거로 가구소재의 마름질 작업과 이음, 맞춤 등 가구조립능력을 평가- 2012년 1월 공개문제 추가"
가구제작기능사,취득방법,"① 시 행 처 : 한국산업인력공단② 관련학과 : 전문대학의 가구디자인과, 가구실내디자인과, 공업디자인과 등 관련학과③ 훈련기관 : 한국산업인력관리공단 산하 직업훈련원과 직업훈련기관의               가구제작에 관한 직업훈련(12개월 과정).④ 시험과목    - 필기 : 1.가구제도  2.가구재료  3.가구공작   - 실기 : 가구제작작업⑤ 검정방법   - 필기 : 전과목 혼합, 객관식 60문항 (60분)   - 실기 : 작업형(5시간 정도)⑥ 합격기준    - 필기·실기 : 100점을 만점으로 하여 60점 이상 "
가스기능사,개요,"경제성장과 더불어 산업체로부터 가정에 이르기까지 수요가 증가하고 있는 가스류 제품 은 인화성과 폭발성이 있는 에너지 자원이다. 이에 따라 고압가스와 관련된 생산, 공 정, 시설, 기수의 안전관례에 대한 제도적 개편과 기능인력을 양성하기 위해여 자격제 도 시행. "
